Gr_Liv_Area,First_Flr_SF,Second_Flr_SF,Total_Bsmt_SF,Low_Qual_Fin_SF,Wood_Deck_SF,Open_Porch_SF,Bsmt_Unf_SF,Mas_Vnr_Area,Garage_Cars,Garage_Area,Year_Built,TotRms_AbvGrd,Full_Bath,Overall_Qual,Kitchen_Qual,Fireplaces,Fireplace_Qu,Exter_Qual,Lot_Frontage,Lot_Area,Longitude,Latitude,Misc_Val,Year_Sold,Sale_Price
936,936,0,936,0,0,0,448,0,1,308,1956,4,1,Average,Typical,0,No_Fireplace,Typical,74,5868,-93.6192014,42.0381282,0,2010,129000
1224,816,408,816,0,414,0,161,0,1,280,1948,5,1,Above_Average,Typical,0,No_Fireplace,Typical,60,8064,-93.61061,42.035867,0,2010,132000
1246,1246,0,1246,0,218,0,0,0,1,305,1959,6,1,Average,Good,0,No_Fireplace,Typical,75,7500,-93.605969,42.03594,0,2010,154000
1385,910,475,910,0,0,0,403,0,2,720,1952,6,2,Average,Typical,0,No_Fireplace,Typical,71,8520,-93.609218,42.0347571,0,2010,166000
900,900,0,900,0,222,32,180,0,2,576,1951,5,1,Average,Good,0,No_Fireplace,Typical,60,7200,-93.607801,42.034848,0,2010,134800
1116,1116,0,1116,0,0,0,1116,261,2,440,1962,5,1,Above_Average,Typical,0,No_Fireplace,Typical,87,10000,-93.605943,42.034748,0,2010,160000
1175,1175,0,1175,0,0,0,237,0,2,484,1960,6,1,Average,Typical,0,No_Fireplace,Typical,81,7635,-93.606742,42.034851,0,2010,148000
1839,1051,788,756,0,0,124,756,351,2,442,1966,7,1,Above_Average,Typical,1,Typical,Typical,70,7700,-93.603705,42.037093,0,2010,155000
936,936,0,936,0,51,0,357,0,0,0,1920,5,1,Average,Typical,1,Good,Typical,56,4485,-93.62024,42.031363,0,2010,109500
1347,1347,0,1347,0,0,0,0,0,2,551,1957,6,1,Average,Good,0,No_Fireplace,Typical,69,5805,-93.6179112,42.0303783,0,2010,143000
1605,840,765,840,0,0,0,840,0,1,379,1915,8,2,Fair,Typical,0,No_Fireplace,Good,60,5790,-93.614002,42.033279,0,2010,107400
1316,926,0,926,390,0,0,0,0,2,484,1929,6,1,Average,Typical,0,No_Fireplace,Typical,50,5500,-93.608954,42.03128,0,2010,130000
1633,1027,606,1027,0,0,100,247,0,1,240,1948,7,1,Average,Good,1,Good,Typical,69,11851,-93.610466,42.030383,0,2010,129000
1652,966,686,686,0,0,0,0,0,1,416,1915,7,2,Average,Typical,0,No_Fireplace,Typical,60,10800,-93.610588,42.029146,1200,2010,139000
2268,1157,1111,346,0,0,108,346,0,2,624,1890,7,3,Very_Good,Good,0,No_Fireplace,Good,50,9000,-93.61221,42.028145,0,2010,240000
1363,741,622,622,0,0,0,622,0,2,528,1910,6,1,Below_Average,Typical,0,No_Fireplace,Typical,60,7740,-93.607238,42.028164,0,2010,125500
2290,1246,1044,777,0,0,0,777,0,2,560,1885,11,2,Below_Average,Typical,0,No_Fireplace,Typical,60,11340,-93.608752,42.02916,0,2010,122500
1470,868,602,738,0,0,0,455,0,2,624,1922,6,1,Above_Average,Typical,0,No_Fireplace,Typical,60,10560,-93.607088,42.028165,0,2010,140750
1612,1030,582,988,0,0,0,200,0,1,363,1950,7,1,Average,Typical,0,No_Fireplace,Typical,53,5830,-93.625737,42.033642,0,2010,128500
2068,1160,908,1108,0,0,0,634,0,1,315,1922,8,1,Good,Good,1,Good,Typical,0,7793,-93.625825,42.030187,0,2010,209500
765,765,0,765,0,135,0,577,0,1,200,1925,4,1,Below_Average,Good,0,No_Fireplace,Typical,50,5000,-93.625586,42.033621,0,2010,87000
1196,848,348,572,0,0,0,308,0,2,576,1940,6,1,Above_Average,Typical,2,Good,Typical,50,6000,-93.622597,42.0336,0,2010,128000
1040,548,492,528,0,306,0,252,0,2,624,1936,5,1,Average,Typical,0,No_Fireplace,Typical,52,6240,-93.623483,42.031556,0,2010,123900
1536,928,608,928,0,0,10,480,0,2,480,1930,7,2,Average,Typical,1,Good,Typical,52,6240,-93.621482,42.031337,0,2010,138400
1068,1068,0,1124,0,0,0,164,0,1,288,1923,5,1,Above_Average,Typical,1,Good,Typical,51,6120,-93.620409,42.032302,0,2010,109500
1710,902,808,576,0,12,11,576,0,2,480,1921,9,2,Good,Typical,0,No_Fireplace,Typical,50,10300,-93.62338,42.027986,0,2010,140000
1324,662,662,662,0,0,0,662,0,1,180,1920,6,1,Above_Average,Typical,0,No_Fireplace,Typical,52,3068,-93.621632,42.026914,0,2010,122000
816,816,0,816,0,106,0,0,0,2,516,1963,5,1,Average,Typical,0,No_Fireplace,Fair,110,8472,-93.629495,42.020693,0,2010,110000
1092,372,720,0,0,0,0,0,0,0,0,1930,7,2,Below_Average,Fair,0,No_Fireplace,Fair,70,5600,-93.626876,42.024141,3500,2010,55000
2403,1207,1196,1032,0,56,0,1032,0,1,349,1940,10,2,Good,Typical,2,Typical,Typical,0,24090,-93.656231,42.033454,0,2010,244400
1392,1212,180,1212,0,0,0,186,0,0,0,1915,6,1,Average,Typical,0,No_Fireplace,Fair,60,9900,-93.656924,42.026752,0,2010,100000
919,600,319,600,0,0,0,232,0,1,231,1940,5,1,Above_Average,Typical,0,No_Fireplace,Typical,65,6001,-93.658081,42.02616,0,2010,95000
1832,1832,0,1832,0,0,58,1128,72,0,0,1967,8,2,Below_Average,Typical,0,No_Fireplace,Fair,72,10773,-93.671021,42.033386,0,2010,136000
1392,1392,0,1392,0,0,0,90,180,2,528,1957,5,1,Average,Typical,1,Good,Typical,0,11341,-93.672381,42.03237,0,2010,121500
1060,1060,0,1060,0,406,90,204,0,1,270,1968,6,1,Average,Good,1,Typical,Typical,0,8246,-93.676659,42.03069,0,2010,154000
892,892,0,864,0,0,0,150,47,1,416,1966,5,1,Average,Good,0,No_Fireplace,Typical,65,7800,-93.677992,42.029924,0,2010,137900
864,864,0,864,0,226,0,89,0,1,280,1968,4,1,Average,Typical,0,No_Fireplace,Typical,65,7832,-93.676674,42.030519,0,2010,137250
1440,720,720,720,0,192,38,0,0,2,480,1968,7,1,Average,Typical,2,Typical,Typical,86,11227,-93.673565,42.03136,0,2010,163000
2260,1306,954,1306,0,296,44,105,0,2,533,1996,7,2,Good,Good,0,No_Fireplace,Good,80,14000,-93.670503,42.030082,0,2010,328000
756,756,0,660,0,80,0,660,0,2,440,1927,4,1,Below_Average,Typical,0,No_Fireplace,Typical,94,9259,-93.663619,42.03387,0,2010,85000
1524,1332,192,1332,0,268,0,74,0,2,586,1979,4,0,Good,Good,1,Typical,Good,0,23595,-93.667904,42.026547,0,2010,260000
1610,1052,558,972,0,0,0,0,0,1,480,1938,8,2,Fair,Fair,1,Good,Typical,124,18600,-93.671178,42.023079,450,2010,124000
1074,1074,0,663,0,0,52,172,0,1,467,1950,6,1,Above_Average,Good,1,Typical,Typical,65,11479,-93.66357,42.026533,0,2010,144500
1144,1144,0,1144,0,44,0,405,0,1,596,1956,6,1,Average,Typical,0,No_Fireplace,Typical,68,9571,-93.667708,42.024208,0,2010,129000
1531,1169,0,756,362,0,0,564,0,1,209,1947,8,1,Below_Average,Typical,1,Typical,Typical,50,9350,-93.66526,42.025173,0,2010,127000
1172,1172,0,1172,0,240,0,218,0,1,366,1954,5,1,Average,Typical,0,No_Fireplace,Typical,75,9525,-93.666097,42.02526,0,2010,128000
1212,1212,0,1212,0,100,22,1176,0,2,460,2009,6,2,Above_Average,Good,0,No_Fireplace,Typical,83,10420,-93.6658876,42.0247497,0,2010,186000
1298,1298,0,1250,0,0,144,1250,0,2,504,1964,5,2,Average,Typical,0,No_Fireplace,Typical,0,11200,-93.663367,42.025019,0,2010,114000
1802,964,838,946,0,450,92,86,85,4,1017,1993,8,2,Above_Average,Good,1,Good,Good,87,12361,-93.683167,42.033783,0,2010,218000
1949,1062,887,1050,0,156,90,300,246,2,574,1993,8,2,Good,Good,1,Typical,Good,80,9938,-93.682026,42.03068,0,2010,236000
996,996,0,936,0,120,0,189,0,2,564,1992,5,1,Above_Average,Good,0,No_Fireplace,Typical,73,9069,-93.6801568,42.0311198,0,2010,147000
1694,1694,0,1694,0,160,33,1694,72,3,776,2008,7,2,Very_Good,Good,0,No_Fireplace,Good,64,10475,-93.69019,42.025747,0,2010,245350
1226,1226,0,1226,0,0,36,1226,0,3,740,2009,6,2,Good,Good,0,No_Fireplace,Typical,94,10402,-93.69245,42.024604,0,2010,198900
3222,1699,1523,1673,0,367,0,203,0,3,594,1990,11,3,Good,Good,2,Typical,Typical,90,12376,-93.68329,42.030601,0,2010,320000
1445,831,614,676,0,0,59,676,0,2,484,1900,6,2,Above_Average,Typical,0,No_Fireplace,Typical,82,14235,-93.6801805,42.0298532,0,2010,138500
965,965,0,870,0,71,0,0,0,2,580,1996,4,1,Average,Typical,0,No_Fireplace,Typical,82,11105,-93.69188,42.021321,0,2010,159000
894,894,0,894,0,365,0,0,0,1,308,1976,5,1,Average,Typical,0,No_Fireplace,Typical,75,10650,-93.687745,42.021395,0,2010,128200
876,876,0,876,0,0,0,396,0,2,484,1972,5,1,Average,Typical,0,No_Fireplace,Typical,68,7480,-93.683727,42.021133,0,2010,127000
1978,1978,0,1978,0,188,25,296,320,3,850,2003,8,2,Very_Good,Good,1,Good,Good,80,10389,-93.687859,42.018662,0,2010,318000
1601,1601,0,1581,0,180,0,223,479,2,670,2001,6,2,Very_Good,Good,1,Typical,Good,0,11423,-93.685523,42.019069,2000,2010,272000
1829,941,888,941,0,192,39,458,223,2,613,2003,7,2,Good,Good,1,Typical,Good,44,9548,-93.687764,42.016121,0,2010,237000
1661,1661,0,1649,0,0,34,1649,442,2,598,1998,6,2,Good,Good,0,No_Fireplace,Typical,48,12137,-93.682686,42.017749,0,2010,224900
848,848,0,848,0,140,0,176,170,2,420,2003,4,1,Above_Average,Good,0,No_Fireplace,Good,0,4435,-93.681227,42.016275,0,2010,143750
848,848,0,848,0,160,0,186,169,2,420,2004,3,1,Above_Average,Good,0,No_Fireplace,Good,0,4426,-93.6837,42.016253,0,2010,143000
1668,1668,0,1657,0,0,262,315,171,2,502,2003,8,2,Very_Good,Good,1,Typical,Good,48,10635,-93.687922,42.01404,0,2010,232000
1414,1414,0,1414,0,132,105,1390,98,2,494,2004,6,2,Good,Good,0,No_Fireplace,Good,65,8773,-93.685961,42.014023,0,2010,185500
640,640,0,0,0,0,0,0,0,1,240,1945,5,1,Fair,Typical,0,No_Fireplace,Typical,67,8777,-93.6783313,42.0203585,0,2010,84900
1526,1526,0,1216,0,116,78,833,145,1,364,1957,7,1,Average,Typical,1,Good,Typical,68,8562,-93.661944,42.017726,0,2010,144500
1296,1296,0,1107,0,0,0,974,203,1,260,1924,5,2,Average,Fair,1,Good,Typical,67,4853,-93.655762,42.022674,0,2010,104000
864,864,0,864,0,0,0,661,0,1,200,1914,5,1,Fair,Typical,0,No_Fireplace,Typical,45,8212,-93.656718,42.022089,0,2010,58500
1691,1026,665,1026,0,0,0,808,0,1,308,1924,6,2,Average,Good,1,Good,Typical,50,5000,-93.650321,42.017737,0,2010,127000
1666,894,772,894,0,0,156,894,0,0,0,1931,7,1,Average,Typical,1,Good,Typical,51,9839,-93.64678,42.019091,0,2010,100000
2177,1102,1075,1032,0,0,0,657,430,2,484,1950,11,2,Average,Typical,0,No_Fireplace,Typical,78,15600,-93.639781,42.014937,0,2010,215000
2340,1188,1152,1152,0,0,60,877,0,1,252,1941,9,2,Good,Good,2,Good,Excellent,66,9042,-93.642793,42.014682,2500,2010,266500
1034,1034,0,982,0,141,36,235,0,2,598,1989,4,1,Very_Good,Good,1,Typical,Good,35,3907,-93.645701,42.009345,0,2010,185000
1191,1191,0,1191,0,112,81,1115,0,2,531,1989,5,2,Very_Good,Good,1,Typical,Good,35,3907,-93.645729,42.009337,0,2010,162500
1801,1801,0,1501,0,0,54,254,0,2,484,1959,6,2,Good,Typical,2,Typical,Typical,100,15602,-93.641677,42.010797,0,2010,289000
1646,1646,0,1594,0,128,53,221,186,2,525,2004,5,2,Very_Good,Good,1,Good,Good,44,3811,-93.615993,42.008687,0,2010,246000
1916,1036,880,1049,0,0,70,434,0,3,741,1998,8,2,Very_Good,Good,1,Typical,Good,85,11050,-93.604947,41.99706,0,2010,254900
1285,1285,0,1243,0,375,26,564,0,2,473,1977,6,2,Above_Average,Good,1,Fair,Typical,74,9620,-93.602823,41.997052,80,2010,190000
1560,1560,0,1560,0,100,150,1560,0,2,573,2003,7,2,Good,Good,0,No_Fireplace,Good,129,9196,-93.603972,41.996065,0,2010,201000
2048,2048,0,1958,0,0,0,1958,0,2,776,1976,9,3,Above_Average,Typical,0,No_Fireplace,Typical,0,12760,-93.602002,41.994013,0,2010,170000
1687,1687,0,747,0,0,0,60,0,2,572,1948,7,1,Average,Typical,2,Typical,Typical,0,57200,-93.657894,41.997741,0,2010,160000
1346,1346,0,1336,0,100,48,1258,60,3,660,2008,6,2,Good,Good,1,Typical,Good,88,11896,-93.649203,41.995346,0,2010,220000
1344,1344,0,1344,0,328,0,1344,0,2,686,1999,7,2,Average,Typical,1,Good,Typical,0,11875,-93.608223,41.991004,0,2010,166500
1112,536,576,536,0,182,0,175,0,1,336,1976,4,1,Average,Typical,0,No_Fireplace,Typical,36,2592,-93.604425,41.991876,0,2010,85000
1092,546,546,546,0,200,26,370,0,0,0,1970,5,1,Below_Average,Typical,0,No_Fireplace,Typical,21,1476,-93.603435,41.992212,0,2010,76000
630,630,0,630,0,96,24,0,0,0,0,1972,3,1,Below_Average,Typical,0,No_Fireplace,Typical,21,1491,-93.60359,41.992119,0,2010,75500
1092,546,546,546,0,0,0,546,0,0,0,1970,5,1,Below_Average,Typical,0,No_Fireplace,Typical,21,1900,-93.601806,41.9917,0,2010,88250
1092,546,546,546,0,0,0,252,0,1,286,1972,5,1,Below_Average,Typical,0,No_Fireplace,Typical,21,1890,-93.603398,41.991824,0,2010,85500
1188,1188,0,1188,0,261,39,595,189,1,312,1962,6,1,Average,Typical,0,No_Fireplace,Typical,0,26142,-93.606856,41.988729,0,2010,157900
833,833,0,833,0,431,0,36,0,2,495,1984,5,1,Average,Good,0,No_Fireplace,Typical,76,12887,-93.6035354,41.9889358,0,2010,149900
1274,624,650,624,0,22,0,166,0,2,576,1991,6,1,Average,Typical,0,No_Fireplace,Typical,63,10475,-93.600582,41.986647,0,2010,136000
1479,864,615,864,0,287,0,388,0,1,275,1969,8,2,Average,Typical,0,No_Fireplace,Typical,68,10544,-93.599791,41.9913,0,2010,161000
1803,1803,0,1679,0,129,64,54,0,2,482,1994,6,2,Very_Good,Good,2,Typical,Good,76,9892,-93.600006,41.989848,0,2010,285000
1797,1152,645,1152,0,162,312,208,0,2,616,1993,7,2,Above_Average,Good,1,Fair,Good,74,12961,-93.600147,41.989185,0,2010,231000
1434,1434,0,1434,0,80,21,590,440,2,528,1974,7,2,Above_Average,Typical,1,Good,Typical,85,10200,-93.619562,42.05139,0,2009,157000
1608,945,663,945,0,252,30,98,0,2,470,1997,7,2,Above_Average,Typical,1,Typical,Typical,88,10179,-93.639388,42.059956,0,2009,189500
2283,1008,1275,1008,0,120,46,158,188,3,632,2003,9,2,Very_Good,Good,1,Good,Good,0,11792,-93.639915,42.063294,0,2009,270000
1628,958,670,384,0,48,72,100,32,2,390,1996,7,2,Good,Typical,1,Typical,Typical,60,8400,-93.6364,42.060896,490,2009,189000
1746,1746,0,1746,0,201,39,426,160,3,758,2006,7,2,Excellent,Excellent,2,Good,Excellent,42,14892,-93.635838,42.062956,0,2009,377500
1474,804,670,384,0,120,72,384,22,2,400,1995,7,2,Good,Typical,1,Typical,Typical,0,8530,-93.637442,42.060598,700,2009,168500
1659,1659,0,1501,0,212,59,343,0,2,499,2000,5,2,Very_Good,Excellent,1,Excellent,Good,40,5664,-93.633739,42.061981,0,2009,278000
1478,1478,0,1418,0,168,43,1077,0,2,495,1998,5,2,Very_Good,Typical,0,No_Fireplace,Typical,61,7380,-93.633547,42.061633,0,2009,240000
